clip_id,edited_video,target_prompt,src_prompt
incision_1,incision_1_1.mp4,A steel keratome blade is used for enlarging a previously made wound to facilitate easy IOL implantation,"A diamond or steel keratome blade is used to create a small, self-sealing incision in the cornea, providing access to the anterior chamber of the eye. This incision allows the introduction of surgical instruments while maintaining intraocular pressure."
incision_1,incision_1_2.mp4,"A diamond keratome is used to create a small, self-sealing incision in the cornea, providing access to the anterior chamber of the eye. This incision allows the introduction of surgical instruments while maintaining intraocular pressure.","A diamond or steel keratome blade is used to create a small, self-sealing incision in the cornea, providing access to the anterior chamber of the eye. This incision allows the introduction of surgical instruments while maintaining intraocular pressure."
incision_1,incision_1_3.mp4,A side port entry is made with an MVR blade providing access to the anterior chamber of the eye. This incision allows the introduction of surgical instruments while maintaining intraocular pressure.,"A diamond or steel keratome blade is used to create a small, self-sealing incision in the cornea, providing access to the anterior chamber of the eye. This incision allows the introduction of surgical instruments while maintaining intraocular pressure."
viscoelastic_1,viscoelastic_1_4.mp4,"A trypan blue dye  is injected into the anterior chamber using a cannula. This agent maintains space, protects the corneal endothelium, and stabilizes the anterior chamber during the surgery.","A viscoelastic agent such as sodium hyaluronate, is injected into the anterior chamber using a cannula. This agent maintains space, protects the corneal endothelium, and stabilizes the anterior chamber during the surgery."
capsulorhexis_1,capsulorhexis_1_5.mp4,"Using cystitome, the surgeon creates a circular tear in the anterior lens capsule. This opening allows access to the underlying cataractous lens, preparing it for removal.","Using capsulorhexis forceps or a cystotome, the surgeon creates a circular tear in the anterior lens capsule. This opening allows access to the underlying cataractous lens, preparing it for removal."
capsulorhexis_1,capsulorhexis_1_6.mp4,"Using a cystitome, the surgeon initiates a tear in the anterior lens capsule. This opening allows access to the underlying cataractous lens, preparing it for removal","Using capsulorhexis forceps or a cystotome, the surgeon creates a circular tear in the anterior lens capsule. This opening allows access to the underlying cataractous lens, preparing it for removal."
hydrodissection_1,hydrodissection_1_7.mp4,BSS is injected with a cannula between the layers of the endonucleus demonstrating the golden ring sign,"Balanced salt solution (BSS) is injected with a cannula between the lens capsule and the lens cortex, separating the cataract from the capsule. This ensures that the lens material can be removed more easily during phacoemulsification."
hydrodissection_1,hydrodissection_1_8.mp4,"Balanced salt solution (BSS) is injected with a cannula in the nucleus, separating the different layers of the nucleus. This ensures that the lens material can be removed more easily during phacoemulsification.","Balanced salt solution (BSS) is injected with a cannula between the lens capsule and the lens cortex, separating the cataract from the capsule. This ensures that the lens material can be removed more easily during phacoemulsification."
phacoemulsification_1,phacoemulsification_1_9.mp4,A phacoemulsification handpiece is used for make a trench in the centre of the nucleus.,"A phacoemulsification handpiece with an ultrasonic probe is inserted into the eye to emulsify the cataract into tiny fragments. These fragments are simultaneously aspirated, removing the clouded lens while protecting surrounding structures."
phacoemulsification_1,phacoemulsification_1_10.mp4,"A coaxial irrigation aspiration handpiece is inserted into the eye to separate the cortex from the bag. The cortex is  simultaneously aspirated, removing the clouded lens while protecting surrounding structures.","A phacoemulsification handpiece with an ultrasonic probe is inserted into the eye to emulsify the cataract into tiny fragments. These fragments are simultaneously aspirated, removing the clouded lens while protecting surrounding structures."
phacoemulsification_1,phacoemulsification_1_11.mp4,A phacoemulsification handpiece with an ultrasonic probe is inserted into the eye to make a central trench in the nucleus.,"A phacoemulsification handpiece with an ultrasonic probe is inserted into the eye to emulsify the cataract into tiny fragments. These fragments are simultaneously aspirated, removing the clouded lens while protecting surrounding structures."
phacoemulsification_1,phacoemulsification_1_12.mp4,"A phacoemulsification handpiece  with an ultrasonic probe and a sharp chopper are inserted into the eye to divide the cataract into tiny fragments. These fragments are simultaneously aspirated, removing the clouded lens while protecting surrounding structures.","A phacoemulsification handpiece with an ultrasonic probe is inserted into the eye to emulsify the cataract into tiny fragments. These fragments are simultaneously aspirated, removing the clouded lens while protecting surrounding structures."
irrigation-aspiration_1,irrigation-aspiration_1_13.mp4,A bimanual  irrigation and aspiration (I/A) system  is used to remove any remaining lens material and fluid from the capsular bag and anterior chamber. The procedure ensures the capsular bag is clear for lens implantation.,A dual-function irrigation and aspiration (I/A) handpiece is used to remove any remaining lens material and fluid from the capsular bag and anterior chamber. The procedure ensures the capsular bag is clear for lens implantation.
Capsule-Pulishing_1,Capsule-Pulishing_1_14.mp4,"A capsular polisher is used to gently remove residual epithelial cells from the inner surface of the posterior capsule, minimizing the risk of posterior capsule opacification (secondary cataract formation).","A polishing tip or I/A tool is used to gently remove residual epithelial cells from the inner surface of the posterior capsule, minimizing the risk of posterior capsule opacification (secondary cataract formation)."
Lens-Implantation_1,Lens-Implantation_1_15.mp4,An multipiece intraocular lens (IOL) is loaded into an injector and inserted through the corneal incision. It is placed within the capsular bag to replace the natural lens and restore the patient's vision.,An intraocular lens (IOL) is loaded into an injector and inserted through the corneal incision. It is placed within the capsular bag to replace the natural lens and restore the patient's vision.
Lens-positioning_1,Lens-positioning_1_16.mp4,"Using an IOL dialer, the surgeon carefully dials the IOL within the capsular bag to ensure proper centration and stability, optimizing visual outcomes.","Using fine-tipped instruments, the surgeon carefully adjusts the position of the IOL within the capsular bag to ensure proper centration and stability, optimizing visual outcomes."
viscoelastic-suction_1,viscoelastic-suction_1_17.mp4,The viscoelastic agent is aspirated from the anterior chamber using a simco cannula to prevent postoperative pressure spikes and ensure a clear visual axis.,The viscoelastic agent is aspirated from the anterior chamber using the I/A handpiece to prevent postoperative pressure spikes and ensure a clear visual axis.
Anterio-Chamber-Flushing_1,Anterio-Chamber-Flushing_1_18.mp4,The anterior chamber is formed with balanced salt solution (BSS) by hydrating the incisions. This final rinse ensures that the incision site is sealed and that the anterior chamber is formed.,The anterior chamber is flushed with balanced salt solution (BSS) to remove any remaining debris or blood. This final rinse ensures that the chamber is clear and that the incision site is clean.
Tonifying-Antibiotics_1,Tonifying-Antibiotics_1_19.mp4,"A pupil-constricting agent, such as pilocarpine, may be injected to ensure there is no pupillary peaking. Following this, intracameral triamcinolone acetonide  is administered to reduce inflammation.","A pupil-constricting agent, such as acetylcholine, may be injected to stabilize intraocular pressure. Following this, an antibiotic such as moxifloxacin is administered to prevent infection, and sometimes corticosteroids are used to reduce inflammation."
